season,refrigerant,c_d_mm,T_amb,T_room,COP,T_co,T_ev,m_dot,eta_is,W_comp_kW,P_cool_kW,success
winter,R1234yf,30.0,5.0,15.0,4.918359553933194,20.31,-5.0,0.0173,0.565,0.468,2.576,True
winter,R1234yf,40.0,5.0,15.0,5.157699190604324,20.31,-5.0,0.0308,0.565,0.832,4.58,True
winter,R1234yf,50.0,5.0,15.0,5.2765469868060615,20.31,-5.0,0.0481,0.565,1.301,7.156,True
winter,R290,30.0,5.0,15.0,5.464000609262822,20.28,-5.0,0.0104,0.615,0.608,3.624,True
winter,R290,40.0,5.0,15.0,5.671876764515006,20.28,-5.0,0.0186,0.615,1.08,6.442,True
winter,R290,50.0,5.0,15.0,5.773544565256682,20.28,-5.0,0.029,0.615,1.688,10.066,True
winter,R134a,30.0,5.0,15.0,4.912389724867302,20.23,-5.0,0.0139,0.56,0.464,2.553,True
winter,R134a,40.0,5.0,15.0,5.1533793066911615,20.23,-5.0,0.0247,0.56,0.825,4.539,True
winter,R134a,50.0,5.0,15.0,5.273113881048642,20.23,-5.0,0.0386,0.56,1.289,7.092,True
winter,R410A,30.0,5.0,15.0,5.862872980571888,20.06,-5.0,0.0299,0.657,0.998,6.179,True
winter,R410A,40.0,5.0,15.0,6.001284841003329,20.06,-5.0,0.0531,0.657,1.775,10.984,True
winter,R410A,50.0,5.0,15.0,6.067586711774473,20.06,-5.0,0.083,0.657,2.773,17.163,True
spring,R1234yf,30.0,12.0,15.0,3.977265132306826,27.28,-5.0,0.0168,0.599,0.533,2.341,True
spring,R1234yf,40.0,12.0,15.0,4.1485475194932295,27.28,-5.0,0.0299,0.599,0.948,4.162,True
spring,R1234yf,50.0,12.0,15.0,4.232922850092979,27.28,-5.0,0.0467,0.599,1.481,6.504,True
spring,R290,30.0,12.0,15.0,4.349591445748845,27.19,-5.0,0.0102,0.637,0.714,3.347,True
spring,R290,40.0,12.0,15.0,4.491463048532864,27.19,-5.0,0.0181,0.637,1.269,5.95,True
spring,R290,50.0,12.0,15.0,4.5603105844263245,27.19,-5.0,0.0283,0.637,1.983,9.297,True
spring,R134a,30.0,12.0,15.0,4.010101433380994,27.15,-5.0,0.0135,0.594,0.528,2.341,True
spring,R134a,40.0,12.0,15.0,4.184333356605019,27.15,-5.0,0.0239,0.594,0.939,4.161,True
spring,R134a,50.0,12.0,15.0,4.270208691328251,27.15,-5.0,0.0374,0.594,1.467,6.502,True
spring,R410A,30.0,12.0,15.0,4.482141093762889,27.0,-5.0,0.0291,0.661,1.213,5.686,True
spring,R410A,40.0,12.0,15.0,4.5696983619437,27.0,-5.0,0.0517,0.661,2.156,10.108,True
spring,R410A,50.0,12.0,15.0,4.611393540346433,27.0,-5.0,0.0808,0.661,3.369,15.794,True
summer,R1234yf,30.0,25.0,15.0,2.760037480891819,40.17,-5.0,0.0158,0.628,0.637,1.912,True
summer,R1234yf,40.0,25.0,15.0,2.8603724676205853,40.17,-5.0,0.028,0.628,1.133,3.4,True
summer,R1234yf,50.0,25.0,15.0,2.9093251635853212,40.17,-5.0,0.0438,0.628,1.77,5.312,True
summer,R290,30.0,25.0,15.0,2.993547806768572,40.0,-5.0,0.0097,0.651,0.892,2.837,True
summer,R290,40.0,25.0,15.0,3.0723447402833117,40.0,-5.0,0.0172,0.651,1.586,5.043,True
summer,R290,50.0,25.0,15.0,3.1102381541651183,40.0,-5.0,0.0268,0.651,2.478,7.88,True
summer,R134a,30.0,25.0,15.0,2.840161304454601,40.0,-5.0,0.0125,0.624,0.631,1.95,True
summer,R134a,40.0,25.0,15.0,2.9444158875143125,40.0,-5.0,0.0223,0.624,1.122,3.466,True
summer,R134a,50.0,25.0,15.0,2.995306823166679,40.0,-5.0,0.0349,0.624,1.752,5.416,True
summer,R410A,30.0,25.0,15.0,2.9327573517718877,40.0,-5.0,0.0275,0.659,1.567,4.76,True
summer,R410A,40.0,25.0,15.0,2.977347021908342,40.0,-5.0,0.0488,0.659,2.786,8.462,True
summer,R410A,50.0,25.0,15.0,2.9984479526641397,40.0,-5.0,0.0763,0.659,4.354,13.221,True
fall,R1234yf,30.0,12.0,15.0,3.977265132306826,27.28,-5.0,0.0168,0.599,0.533,2.341,True
fall,R1234yf,40.0,12.0,15.0,4.1485475194932295,27.28,-5.0,0.0299,0.599,0.948,4.162,True
fall,R1234yf,50.0,12.0,15.0,4.232922850092979,27.28,-5.0,0.0467,0.599,1.481,6.504,True
fall,R290,30.0,12.0,15.0,4.349591445748845,27.19,-5.0,0.0102,0.637,0.714,3.347,True
fall,R290,40.0,12.0,15.0,4.491463048532864,27.19,-5.0,0.0181,0.637,1.269,5.95,True
fall,R290,50.0,12.0,15.0,4.5603105844263245,27.19,-5.0,0.0283,0.637,1.983,9.297,True
fall,R134a,30.0,12.0,15.0,4.010101433380994,27.15,-5.0,0.0135,0.594,0.528,2.341,True
fall,R134a,40.0,12.0,15.0,4.184333356605019,27.15,-5.0,0.0239,0.594,0.939,4.161,True
fall,R134a,50.0,12.0,15.0,4.270208691328251,27.15,-5.0,0.0374,0.594,1.467,6.502,True
fall,R410A,30.0,12.0,15.0,4.482141093762889,27.0,-5.0,0.0291,0.661,1.213,5.686,True
fall,R410A,40.0,12.0,15.0,4.5696983619437,27.0,-5.0,0.0517,0.661,2.156,10.108,True
fall,R410A,50.0,12.0,15.0,4.611393540346433,27.0,-5.0,0.0808,0.661,3.369,15.794,True
