Time,Server_Heating_Power_kW,Ambient_Temp_Summer_C,Ambient_Temp_Spring_C,Ambient_Temp_Fall_C,Ambient_Temp_Winter_C
00:00,2.20,25.50,11.40,13.40,6.80
00:05,2.18,25.42,11.25,13.30,6.72
00:10,2.17,25.33,11.10,13.20,6.63
00:15,2.15,25.25,10.95,13.10,6.55
00:20,2.13,25.17,10.80,13.00,6.47
00:25,2.12,25.08,10.65,12.90,6.38
00:30,2.10,25.00,10.50,12.80,6.30
00:35,2.08,24.92,10.38,12.72,6.22
00:40,2.07,24.83,10.27,12.63,6.13
00:45,2.05,24.75,10.15,12.55,6.05
00:50,2.03,24.67,10.03,12.47,5.97
00:55,2.02,24.58,9.92,12.38,5.88
01:00,2.00,24.50,9.80,12.30,5.80
01:05,2.00,24.42,9.67,12.23,5.72
01:10,2.00,24.33,9.53,12.17,5.63
01:15,2.00,24.25,9.40,12.10,5.55
01:20,2.00,24.17,9.27,12.03,5.47
01:25,2.00,24.08,9.13,11.97,5.38
01:30,2.00,24.00,9.00,11.90,5.30
01:35,2.00,23.92,8.88,11.80,5.22
01:40,2.00,23.83,8.77,11.70,5.13
01:45,2.00,23.75,8.65,11.60,5.05
01:50,2.00,23.67,8.53,11.50,4.97
01:55,2.00,23.58,8.42,11.40,4.88
02:00,2.00,23.50,8.30,11.30,4.80
02:05,2.00,23.43,8.18,11.23,4.72
02:10,2.00,23.37,8.07,11.17,4.63
02:15,2.00,23.30,7.95,11.10,4.55
02:20,2.00,23.23,7.83,11.03,4.47
02:25,2.00,23.17,7.72,10.97,4.38
02:30,2.00,23.10,7.60,10.90,4.30
02:35,2.02,23.02,7.50,10.83,4.22
02:40,2.03,22.93,7.40,10.77,4.13
02:45,2.05,22.85,7.30,10.70,4.05
02:50,2.07,22.77,7.20,10.63,3.97
02:55,2.08,22.68,7.10,10.57,3.88
03:00,2.10,22.60,7.00,10.50,3.80
03:05,2.12,22.53,6.90,10.43,3.72
03:10,2.13,22.47,6.80,10.37,3.63
03:15,2.15,22.40,6.70,10.30,3.55
03:20,2.17,22.33,6.60,10.23,3.47
03:25,2.18,22.27,6.50,10.17,3.38
03:30,2.20,22.20,6.40,10.10,3.30
03:35,2.25,22.13,6.30,10.03,3.22
03:40,2.30,22.07,6.20,9.97,3.13
